Outbreak Year,Outbreak Season,Count of Outbreaks
2016,Fall,46
2016,Spring,76
2016,Summer,27
2016,Winter,109
2017,Fall,36
2017,Spring,74
2017,Summer,43
2017,Winter,196
2018,Fall,51
2018,Spring,122
2018,Summer,30
2018,Winter,220
2019,Fall,37
2019,Spring,92
2019,Summer,39
2019,Winter,138
2020,Fall,123
2020,Spring,186
2020,Summer,35
2020,Winter,167
2021,Fall,29
2021,Spring,76
2021,Summer,18
2021,Winter,234
2022,Fall,323
2022,Spring,226
2022,Summer,268
2022,Winter,268
2023,Fall,325
2023,Spring,204
2023,Summer,143
2023,Winter,198
